DIST,VAR,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,WC13,WC14,WC15,WC16,WC17,WC18,district.y,state
Adilabad,RAIN,1901,14.78781302528,74.07179875714,19.3040582772,64.19740876422,11.73836932516,159.06320600592,337.90529985638,298.01159080892,154.53320014672,32.18019432796,0.0172026872,0,1165.8101419821,981.6934911459,790.45009081202,419.719892027,155.63235188746,157.33671017492,Adilabad,Andhra Pradesh
Adilabad,RAIN,1902,0.017164179,0,0.1538225579,7.59943055368,13.3224723513,28.89571228906,256.67273900862,179.30839590378,198.29189764292,11.1481081974,13.60743483862,19.31076858984,728.32794611212,674.31685304178,634.27303255532,164.93510446694,303.88380519698,57.45670599628,Adilabad,Andhra Pradesh
Adilabad,RAIN,1903,5.03146946334,7.7226002005,0.0320679916,2.53964656992,15.4250949208,103.47838049158,516.43913491232,379.91863065852,196.51652856618,136.90260705614,10.975776554,2.0570880933,1377.0390254782,1333.25528168474,1092.87429413702,449.8163299423,351.31448756102,213.880403939,Adilabad,Andhra Pradesh
Adilabad,RAIN,1904,6.7957824525,0.74483340564,10.27954013238,0.7406575961,31.49854957234,80.90537200972,190.20530720814,121.35400460122,200.53829081362,96.0147574262,0,0,739.07709521786,689.0177320589,512.09760262298,161.71248346988,217.50774741612,57.33762110702,Adilabad,Andhra Pradesh
Adilabad,RAIN,1905,0.08973068454,2.69245625794,16.5878853088,15.42182146268,36.7134895584,122.91187415894,157.5168470154,281.8426226719,297.8341177274,14.30824037034,0,0,945.91908521634,874.41370194398,737.1935874147,134.73184712008,495.5592831466,37.8381482583,Adilabad,Andhra Pradesh
Adilabad,RAIN,1906,10.23359814356,1.96013941572,15.47937001564,0.9014263725,3.64346762674,267.79345605102,365.67806988336,264.47754925196,138.93113291152,12.22630753616,14.75462023732,23.20473651426,1119.28387395976,1049.10651563402,769.08675204684,308.67912773378,299.86071750902,36.67227680282,Adilabad,Andhra Pradesh
Adilabad,RAIN,1907,5.13573316634,12.69846029434,7.22972739002,76.60021678318,0.18415720542,152.54906809506,294.86130468284,373.38557155176,128.49476626222,0,5.28841348534,19.37394778626,1075.80136670278,949.29071059188,796.74164249682,478.217282004,215.03094223754,17.00496562466,Adilabad,Andhra Pradesh
Adilabad,RAIN,1908,10.294629571,12.38090447868,4.67406226908,2.24987082388,5.77902187258,144.66212609106,421.63431431228,383.12953839724,293.9867509129,10.1023080795,0,0.452344249,1289.3458710572,1253.51503779298,1098.75060362242,440.85603842654,245.99322706946,150.00064625022,Adilabad,Andhra Pradesh
Adilabad,RAIN,1909,4.8722168116,6.33384198366,2.10039461384,32.18233501112,1.91148564622,127.80930967172,437.03053962512,184.34837474152,125.79010113968,5.02543621616,0,10.87487518632,938.27891064696,880.0037613942,747.16901550632,306.85401834666,231.78537759458,42.296825089,Adilabad,Andhra Pradesh
Adilabad,RAIN,1910,0,0,0,0.0114311077,26.56516612748,272.48776318068,289.678541278,180.26382890416,331.32631299016,77.22926744082,51.21015955336,0,1228.77247058236,1150.98571379382,801.26868317232,234.49048596346,237.87408601696,179.68541491384,Adilabad,Andhra Pradesh
